Link,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC
pp-melbourne-demons--james-jordan,James Jordan,10,5,15,5,1,1,5,0,2,3,1,3,0,1,1,80,78
pp-melbourne-demons--trent-rivers,Trent Rivers,7,7,14,3,0,0,0,0,0,1,0,4,2,0,1,41,34
pp-melbourne-demons--max-gawn,Max Gawn,6,6,12,4,0,0,1,30,0,1,3,3,4,0,1,73,93
pp-melbourne-demons--kysaiah-pickett,Kysaiah Pickett,8,4,12,3,1,0,4,0,0,3,0,6,1,1,3,55,67
pp-melbourne-demons--jayden-hunt,Jayden Hunt,7,3,10,3,0,0,2,0,0,3,2,2,3,0,2,38,53
pp-melbourne-demons--bayley-fritsch,Bayley Fritsch,9,1,10,6,2,1,2,0,0,3,0,1,0,1,1,66,64
pp-melbourne-demons--tom-sparrow,Tom Sparrow,5,5,10,3,0,1,6,0,0,2,2,2,1,0,0,59,59
pp-melbourne-demons--luke-jackson,Luke Jackson,6,4,10,4,0,1,2,5,1,2,2,3,0,3,1,52,44
pp-melbourne-demons--neville-jetta,Neville Jetta,4,5,9,4,0,0,1,0,0,0,0,0,2,0,0,38,63
pp-fremantle-dockers--andrew-brayshaw,Andrew Brayshaw,13,16,29,5,1,0,4,0,0,5,0,2,3,0,1,105,125
pp-fremantle-dockers--nathan-fyfe,Nathan Fyfe,10,17,27,5,0,0,5,0,2,4,9,8,2,1,4,88,109
pp-fremantle-dockers--caleb-serong,Caleb Serong,13,13,26,2,0,1,3,0,1,6,3,3,1,1,0,85,101
pp-fremantle-dockers--adam-cerra,Adam Cerra,14,10,24,7,0,1,5,0,2,8,3,2,1,1,1,102,122
pp-fremantle-dockers--luke-ryan,Luke Ryan,15,6,21,4,0,0,5,0,0,0,0,6,9,0,2,83,84
pp-fremantle-dockers--david-mundy,David Mundy,9,10,19,5,0,1,3,0,0,2,3,2,3,0,1,72,73
pp-fremantle-dockers--hayden-young,Hayden Young,17,2,19,6,0,0,0,0,0,3,0,3,8,1,1,71,88
pp-fremantle-dockers--james-aish,James Aish,14,3,17,2,0,1,1,0,0,5,4,3,4,1,0,60,65
pp-fremantle-dockers--reece-conca,Reece Conca,6,10,16,3,0,0,0,0,0,1,1,6,5,1,2,42,54
pp-fremantle-dockers--ethan-hughes,Ethan Hughes,9,7,16,4,0,0,2,0,0,1,1,5,5,2,1,60,59
pp-fremantle-dockers--sam-switkowski,Sam Switkowski,5,10,15,3,1,1,5,0,0,3,3,1,1,0,0,71,95
pp-fremantle-dockers--connor-blakely,Connor Blakely,5,9,14,2,1,0,2,0,0,2,3,2,0,1,1,51,62
pp-fremantle-dockers--travis-colyer,Travis Colyer,9,4,13,3,0,1,2,0,1,3,0,4,0,0,0,53,60
pp-fremantle-dockers--matthew-taberner,Matthew Taberner,10,3,13,4,3,1,0,0,0,3,1,0,0,0,0,67,84
pp-fremantle-dockers--blake-acres,Blake Acres,6,6,12,2,0,0,2,1,0,2,1,6,2,0,2,39,24
pp-fremantle-dockers--joel-hamling,Joel Hamling,3,7,10,0,0,0,1,2,0,0,0,1,1,3,0,32,72
pp-fremantle-dockers--brennan-cox,Brennan Cox,4,6,10,6,0,0,0,1,0,1,0,1,2,0,0,43,65
pp-fremantle-dockers--lachlan-schultz,Lachlan Schultz,9,1,10,0,1,0,5,0,1,5,0,5,0,4,1,56,67
pp-fremantle-dockers--stefan-giro,Stefan Giro,5,3,8,2,0,0,1,0,0,1,1,3,0,0,0,31,27
pp-fremantle-dockers--tobe-watson,Tobe Watson,4,4,8,3,0,0,2,0,0,1,0,2,2,0,2,31,33
pp-fremantle-dockers--liam-henry,Liam Henry,7,1,8,1,1,1,0,0,0,1,1,3,0,2,0,35,36
pp-fremantle-dockers--lloyd-meek,Lloyd Meek,0,6,6,0,0,0,1,13,0,0,1,3,0,0,1,26,43
pp-fremantle-dockers--alex-pearce,Alex Pearce,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,7,11
pp-adelaide-crows--rory-laird,Rory Laird,18,9,27,7,0,2,6,0,1,4,4,4,1,3,1,119,102
pp-adelaide-crows--ben-keays,Ben Keays,15,8,23,4,0,1,4,0,1,8,7,2,2,1,0,91,89
pp-adelaide-crows--lachlan-sholl,Lachlan Sholl,16,7,23,9,0,0,3,0,0,4,1,4,0,1,0,102,91
pp-adelaide-crows--brodie-smith,Brodie Smith,14,7,21,6,0,1,0,0,0,3,0,7,6,0,2,69,73
pp-adelaide-crows--paul-seedsman,Paul Seedsman,14,7,21,8,0,1,1,0,1,4,1,5,4,1,2,80,83
pp-adelaide-crows--rory-sloane,Rory Sloane,11,9,20,5,0,0,4,0,0,5,7,1,3,3,0,85,119
pp-adelaide-crows--taylor-walker,Taylor Walker,11,7,18,7,5,2,1,2,2,1,2,3,0,2,1,105,146
pp-adelaide-crows--tom-lynch,Tom Lynch,12,5,17,8,1,0,2,0,4,6,0,0,0,1,0,85,112
pp-adelaide-crows--harry-schoenberg,Harry Schoenberg,6,10,16,3,1,1,3,0,1,1,2,1,1,2,1,65,88
pp-adelaide-crows--james-rowe,James Rowe,11,5,16,5,2,0,3,0,0,4,2,0,0,2,0,84,104
pp-adelaide-crows--billy-frampton,Billy Frampton,10,4,14,8,2,2,0,7,0,0,0,1,2,0,0,83,89
pp-adelaide-crows--tom-doedee,Tom Doedee,9,4,13,4,0,0,4,0,0,1,1,0,5,2,0,65,97
pp-adelaide-crows--edward-mchenry,Ned McHenry,7,5,12,1,2,1,3,0,0,1,2,3,0,1,2,54,67
pp-adelaide-crows--lachlan-murphy,Lachlan Murphy,6,5,11,0,1,1,4,0,0,2,3,4,1,3,0,54,50
pp-adelaide-crows--andrew-mcpherson,Andrew McPherson,7,3,10,2,0,0,4,0,0,1,0,5,1,1,2,44,44
pp-adelaide-crows--jordon-butts,Jordon Butts,5,5,10,3,0,0,0,0,0,0,0,3,5,1,0,35,56
pp-adelaide-crows--reilly-o-brien,Reilly O'Brien,3,5,8,2,0,0,1,22,0,1,1,3,1,3,1,51,55
pp-adelaide-crows--sam-berry,Sam Berry,6,2,8,1,0,1,7,0,1,2,3,2,0,2,2,50,59
pp-adelaide-crows--mitchell-hinge,Mitchell Hinge,6,1,7,3,0,0,0,0,0,1,0,1,2,1,0,30,31
pp-adelaide-crows--shane-mcadam,Shane McAdam,3,4,7,4,1,0,1,0,1,2,0,2,0,0,1,36,42
pp-adelaide-crows--will-hamill,Will Hamill,5,1,6,0,0,0,5,0,0,0,0,0,0,0,0,37,37
pp-adelaide-crows--luke-brown,Luke Brown,2,3,5,0,0,0,2,0,0,0,0,0,0,1,0,21,25
pp-adelaide-crows--jake-kelly,Jake Kelly,2,2,4,0,0,0,2,0,0,0,0,0,3,0,0,18,27
pp-geelong-cats--patrick-dangerfield,Patrick Dangerfield,17,9,26,6,0,0,2,0,2,8,6,3,4,1,0,96,92
pp-geelong-cats--cameron-guthrie,Cameron Guthrie,11,12,23,3,1,1,5,0,0,2,6,5,2,1,4,82,104
pp-geelong-cats--shaun-higgins,Shaun Higgins,9,13,22,3,0,2,2,0,1,3,4,2,1,1,2,67,80
pp-geelong-cats--isaac-smith,Isaac Smith,15,6,21,6,2,1,2,0,0,4,0,7,2,0,0,96,68
pp-geelong-cats--thomas-stewart,Thomas Stewart,17,4,21,5,0,0,1,0,0,0,0,1,9,1,0,79,113
pp-geelong-cats--tom-atkins,Tom Atkins,9,10,19,1,0,0,4,0,1,1,1,6,0,0,5,51,82
pp-geelong-cats--joel-selwood,Joel Selwood,13,5,18,4,0,0,5,0,1,7,3,3,1,1,3,73,101
pp-geelong-cats--mark-o-connor,Mark O'Connor,8,10,18,2,0,0,0,0,0,0,1,2,0,0,1,47,76
pp-geelong-cats--brandan-parfitt,Brandan Parfitt,11,7,18,2,2,0,9,0,0,3,3,3,1,3,1,101,111
pp-geelong-cats--jordan-clark,Jordan Clark,10,8,18,1,0,0,2,0,1,3,1,1,4,0,1,54,80
pp-geelong-cats--mark-blicavs,Mark Blicavs,8,9,17,5,1,0,2,6,0,0,2,4,2,2,2,73,85
pp-geelong-cats--gryan-miers,Gryan Miers,8,8,16,3,1,0,2,0,1,3,1,6,0,0,0,63,45
pp-geelong-cats--rhys-stanley,Rhys Stanley,3,11,14,2,1,0,1,21,0,2,3,1,0,0,1,65,75
pp-geelong-cats--sam-menegola,Sam Menegola,7,7,14,5,1,0,3,0,0,1,2,3,0,1,1,66,71
pp-geelong-cats--luke-dahlhaus,Luke Dahlhaus,7,6,13,2,1,1,0,0,0,3,2,0,0,2,0,48,66
pp-geelong-cats--jake-kolodjashnij,Jake Kolodjashnij,4,9,13,7,0,0,5,0,0,1,0,0,2,0,0,71,69
pp-geelong-cats--lachlan-henderson,Lachlan Henderson,7,4,11,6,0,0,2,0,0,2,0,2,3,0,2,49,56
pp-geelong-cats--zach-guthrie,Zach Guthrie,6,5,11,4,0,1,3,0,0,1,0,0,1,0,0,53,51
pp-geelong-cats--tom-hawkins,Tom Hawkins,5,3,8,3,2,2,4,1,0,1,1,2,0,0,2,55,57
pp-geelong-cats--josh-jenkins,Josh Jenkins,5,3,8,2,0,2,2,3,1,3,1,4,0,1,2,35,43
pp-geelong-cats--jed-bews,Jed Bews,6,2,8,2,0,0,2,0,0,3,0,3,2,1,2,31,31
pp-geelong-cats--gary-rohan,Gary Rohan,5,1,6,3,1,1,1,0,2,1,0,2,0,0,2,31,40
pp-geelong-cats--charlie-constable,Charlie Constable,4,2,6,3,0,0,0,0,0,0,1,0,1,0,0,25,19
pp-brisbane-lions--jarryd-lyons,Jarryd Lyons,14,14,28,3,1,0,2,0,1,5,6,2,3,2,0,95,100
pp-brisbane-lions--lachie-neale,Lachie Neale,8,16,24,4,0,0,0,0,1,4,7,3,2,0,0,68,77
pp-brisbane-lions--daniel-rich,Daniel Rich,21,2,23,8,0,0,1,0,0,2,0,4,11,0,0,95,72
pp-brisbane-lions--dayne-zorko,Dayne Zorko,15,7,22,6,1,2,6,0,0,6,4,6,2,1,5,95,114
pp-brisbane-lions--hugh-mccluggage,Hugh McCluggage,14,4,18,5,1,0,3,0,2,3,2,3,1,1,2,78,68
pp-brisbane-lions--lincoln-mccarthy,Lincoln McCarthy,11,5,16,2,2,0,3,0,0,1,1,4,1,2,1,72,85
pp-brisbane-lions--jarrod-berry,Jarrod Berry,10,6,16,3,1,0,2,0,1,3,1,4,2,1,2,60,65
pp-brisbane-lions--zac-bailey,Zac Bailey,13,3,16,0,3,0,2,0,0,10,2,8,0,2,5,58,74
pp-brisbane-lions--callum-ah-chee,Callum Ah Chee,6,6,12,0,0,0,3,0,1,2,0,4,1,0,2,36,62
pp-brisbane-lions--oscar-mcinerney,Oscar McInerney,7,5,12,3,1,1,2,24,0,2,2,3,1,3,2,76,109
pp-brisbane-lions--jack-payne,Jack Payne,6,6,12,3,0,0,0,0,1,2,0,1,1,0,0,39,57
pp-brisbane-lions--grant-birchall,Grant Birchall,8,3,11,5,0,0,1,0,0,2,0,0,1,0,0,49,50
pp-brisbane-lions--harris-andrews,Harris Andrews,8,3,11,4,0,0,1,0,0,0,0,2,5,1,1,44,74
pp-brisbane-lions--harry-sharp,Harry Sharp,8,3,11,1,0,0,3,0,1,2,0,4,1,0,1,42,51
pp-brisbane-lions--mitch-robinson,Mitch Robinson,8,2,10,2,0,0,5,0,0,2,2,1,3,1,0,55,53
pp-brisbane-lions--joe-daniher,Joe Daniher,8,2,10,2,2,2,0,1,0,3,0,3,0,2,2,45,54
pp-brisbane-lions--charlie-cameron,Charlie Cameron,7,3,10,2,0,0,1,0,1,3,3,0,0,2,0,39,42
pp-brisbane-lions--ryan-lester,Ryan Lester,5,4,9,3,0,0,1,0,0,0,0,2,0,2,1,35,62
pp-brisbane-lions--eric-hipwood,Eric Hipwood,4,5,9,3,1,0,1,0,0,3,0,7,0,0,4,29,25
pp-brisbane-lions--brandon-starcevich,Brandon Starcevich,6,3,9,2,0,0,0,0,0,0,1,1,2,1,0,31,55
pp-brisbane-lions--tom-fullarton,Tom Fullarton,4,4,8,1,0,0,0,1,1,1,0,1,0,0,1,21,38
pp-brisbane-lions--keidean-coleman,Keidean Coleman,4,4,8,1,1,1,4,0,1,1,1,2,1,1,1,44,59
pp-sydney-swans--callum-mills,Callum Mills,14,15,29,8,2,0,3,0,1,2,3,4,4,1,0,121,154
pp-sydney-swans--jake-lloyd,Jake Lloyd,13,11,24,3,0,0,3,0,0,1,1,4,8,0,2,76,98
pp-sydney-swans--luke-parker,Luke Parker,11,12,23,5,2,0,3,0,1,2,3,6,0,1,0,97,83
pp-sydney-swans--tom-hickey,Tom Hickey,12,11,23,3,0,0,1,24,1,5,9,3,2,3,2,92,123
pp-sydney-swans--dane-rampe,Dane Rampe,16,6,22,5,0,0,3,0,0,4,1,6,7,3,4,78,75
pp-sydney-swans--james-rowbottom,James Rowbottom,9,13,22,0,0,0,8,0,1,3,3,1,0,4,0,89,117
pp-sydney-swans--jordan-dawson,Jordan Dawson,13,8,21,1,0,0,0,0,0,1,0,2,8,3,0,61,79
pp-sydney-swans--george-hewett,George Hewett,15,5,20,6,0,0,2,0,0,3,0,4,2,2,0,83,60
pp-sydney-swans--chad-warner,Chad Warner,10,9,19,1,0,0,3,0,1,8,3,2,0,0,2,57,70
pp-sydney-swans--errol-gulden,Errol Gulden,17,2,19,10,3,1,1,0,3,7,1,3,1,3,1,108,139
pp-sydney-swans--josh-p--kennedy,Josh P. Kennedy,8,9,17,2,0,2,3,0,1,2,2,7,0,0,1,59,50
pp-sydney-swans--oliver-florent,Oliver Florent,8,8,16,3,0,0,5,0,1,3,2,5,4,1,3,61,97
pp-sydney-swans--tom-papley,Tom Papley,12,3,15,6,1,1,0,0,2,2,1,0,0,1,0,68,79
pp-sydney-swans--nick-blakey,Nick Blakey,13,2,15,5,1,0,2,0,0,3,0,2,0,1,0,73,57
pp-sydney-swans--isaac-heeney,Isaac Heeney,12,1,13,8,3,2,1,0,4,5,0,2,0,0,2,80,115
pp-sydney-swans--sam-wicks,Sam Wicks,6,6,12,2,2,0,5,0,0,1,0,1,0,1,0,69,75
pp-sydney-swans--braeden-campbell,Braeden Campbell,6,6,12,2,0,0,2,0,0,1,1,1,2,2,0,46,56
pp-sydney-swans--tom-mccartin,Tom McCartin,9,2,11,4,0,0,1,0,0,1,0,3,1,2,0,49,59
pp-sydney-swans--logan-mcdonald,Logan McDonald,9,2,11,5,3,1,0,0,0,2,0,1,0,0,0,65,88
pp-sydney-swans--harry-cunningham,Harry Cunningham,6,3,9,1,0,0,4,0,0,0,0,2,3,1,2,38,54
pp-sydney-swans--hayden-mclean,Hayden McLean,5,4,9,4,0,0,0,1,3,2,0,3,0,1,2,31,49
pp-sydney-swans--sam-reid-1,Sam Reid,5,1,6,5,2,1,2,5,0,1,0,1,0,0,1,55,76
pp-essendon-bombers--andrew-mcgrath,Andrew McGrath,17,16,33,2,1,1,11,0,0,7,5,3,4,4,1,141,133
pp-essendon-bombers--zachary-merrett,Zachary Merrett,18,13,31,4,1,0,3,0,1,8,2,7,4,1,0,111,105
