Link,Player,K,HB,D,M,G,B,T,HO,GA,I50,CL,CG,R50,FF,FA,AF,SC
pp-collingwood-magpies--brodie-grundy,Brodie Grundy,8,3,11,3,0,0,3,39,0,1,3,3,2,1,2,85,70
pp-collingwood-magpies--brody-mihocek,Brody Mihocek,7,4,11,6,2,2,2,0,0,3,0,3,0,0,1,66,67
pp-collingwood-magpies--brayden-sier,Brayden Sier,1,8,9,0,0,0,4,0,0,1,2,0,0,0,0,35,37
pp-collingwood-magpies--josh-daicos,Josh Daicos,2,7,9,1,0,0,1,0,0,2,2,3,1,1,3,19,30
pp-collingwood-magpies--oliver-henry,Oliver Henry,4,0,4,1,0,0,0,0,0,0,0,3,1,0,0,15,9
pp-collingwood-magpies--trey-ruscoe,Trey Ruscoe,2,1,3,2,0,0,2,0,1,1,0,2,0,0,2,16,13
pp-melbourne-demons--clayton-oliver,Clayton Oliver,10,25,35,6,0,0,3,0,0,3,7,5,3,0,1,107,122
pp-melbourne-demons--steven-may,Steven May,21,3,24,8,0,0,0,0,0,3,1,4,8,2,1,92,117
pp-melbourne-demons--christian-petracca,Christian Petracca,13,11,24,2,2,1,3,0,0,5,1,7,1,1,1,90,98
pp-melbourne-demons--ed-langdon,Ed Langdon,13,9,22,5,1,1,4,0,0,2,1,3,4,0,0,95,105
pp-melbourne-demons--james-harmes,James Harmes,11,9,20,6,1,1,2,0,0,3,1,6,2,2,0,86,64
pp-melbourne-demons--nathan-jones,Nathan Jones,9,9,18,4,0,1,0,0,1,4,0,2,3,0,0,58,51
pp-melbourne-demons--tom-mcdonald,Tom McDonald,12,6,18,9,2,2,5,5,1,6,0,5,0,2,2,110,94
pp-melbourne-demons--christian-salem,Christian Salem,11,7,18,6,0,0,1,0,0,1,1,3,4,0,1,66,73
pp-melbourne-demons--jake-lever,Jake Lever,15,3,18,7,0,1,3,0,0,3,0,2,5,2,0,87,129
pp-melbourne-demons--angus-brayshaw,Angus Brayshaw,9,9,18,4,0,1,4,0,0,3,0,5,0,2,1,73,76
pp-melbourne-demons--alex-neal-bullen,Alex N-Bullen,11,6,17,3,0,0,0,0,0,5,5,3,1,1,0,55,71
pp-melbourne-demons--charlie-spargo,Charlie Spargo,8,8,16,2,1,0,5,0,3,3,0,2,1,2,1,71,108
pp-melbourne-demons--adam-tomlinson,Adam Tomlinson,13,2,15,7,0,0,2,0,0,2,0,3,4,0,1,69,82
pp-melbourne-demons--james-jordan,James Jordan,10,5,15,5,1,1,5,0,2,3,1,3,0,1,1,80,78
pp-melbourne-demons--trent-rivers,Trent Rivers,7,7,14,3,0,0,0,0,0,1,0,4,2,0,1,41,34
pp-melbourne-demons--max-gawn,Max Gawn,6,6,12,4,0,0,1,30,0,1,3,3,4,0,1,73,93
pp-melbourne-demons--kysaiah-pickett,Kysaiah Pickett,8,4,12,3,1,0,4,0,0,3,0,6,1,1,3,55,67
pp-melbourne-demons--jayden-hunt,Jayden Hunt,7,3,10,3,0,0,2,0,0,3,2,2,3,0,2,38,53
pp-melbourne-demons--bayley-fritsch,Bayley Fritsch,9,1,10,6,2,1,2,0,0,3,0,1,0,1,1,66,64
pp-melbourne-demons--tom-sparrow,Tom Sparrow,5,5,10,3,0,1,6,0,0,2,2,2,1,0,0,59,59
pp-melbourne-demons--luke-jackson,Luke Jackson,6,4,10,4,0,1,2,5,1,2,2,3,0,3,1,52,44
pp-melbourne-demons--neville-jetta,Neville Jetta,4,5,9,4,0,0,1,0,0,0,0,0,2,0,0,38,63
pp-fremantle-dockers--andrew-brayshaw,Andrew Brayshaw,13,16,29,5,1,0,4,0,0,5,0,2,3,0,1,105,125
pp-fremantle-dockers--nathan-fyfe,Nathan Fyfe,10,17,27,5,0,0,5,0,2,4,9,8,2,1,4,88,109
pp-fremantle-dockers--caleb-serong,Caleb Serong,13,13,26,2,0,1,3,0,1,6,3,3,1,1,0,85,101
pp-fremantle-dockers--adam-cerra,Adam Cerra,14,10,24,7,0,1,5,0,2,8,3,2,1,1,1,102,122
pp-fremantle-dockers--luke-ryan,Luke Ryan,15,6,21,4,0,0,5,0,0,0,0,6,9,0,2,83,84
pp-fremantle-dockers--david-mundy,David Mundy,9,10,19,5,0,1,3,0,0,2,3,2,3,0,1,72,73
pp-fremantle-dockers--hayden-young,Hayden Young,17,2,19,6,0,0,0,0,0,3,0,3,8,1,1,71,88
pp-fremantle-dockers--james-aish,James Aish,14,3,17,2,0,1,1,0,0,5,4,3,4,1,0,60,65
pp-fremantle-dockers--reece-conca,Reece Conca,6,10,16,3,0,0,0,0,0,1,1,6,5,1,2,42,54
pp-fremantle-dockers--ethan-hughes,Ethan Hughes,9,7,16,4,0,0,2,0,0,1,1,5,5,2,1,60,59
pp-fremantle-dockers--sam-switkowski,Sam Switkowski,5,10,15,3,1,1,5,0,0,3,3,1,1,0,0,71,95
pp-fremantle-dockers--connor-blakely,Connor Blakely,5,9,14,2,1,0,2,0,0,2,3,2,0,1,1,51,62
pp-fremantle-dockers--travis-colyer,Travis Colyer,9,4,13,3,0,1,2,0,1,3,0,4,0,0,0,53,60
pp-fremantle-dockers--matthew-taberner,Matthew Taberner,10,3,13,4,3,1,0,0,0,3,1,0,0,0,0,67,84
pp-fremantle-dockers--blake-acres,Blake Acres,6,6,12,2,0,0,2,1,0,2,1,6,2,0,2,39,24
pp-fremantle-dockers--joel-hamling,Joel Hamling,3,7,10,0,0,0,1,2,0,0,0,1,1,3,0,32,72
pp-fremantle-dockers--brennan-cox,Brennan Cox,4,6,10,6,0,0,0,1,0,1,0,1,2,0,0,43,65
pp-fremantle-dockers--lachlan-schultz,Lachlan Schultz,9,1,10,0,1,0,5,0,1,5,0,5,0,4,1,56,67
pp-fremantle-dockers--stefan-giro,Stefan Giro,5,3,8,2,0,0,1,0,0,1,1,3,0,0,0,31,27
pp-fremantle-dockers--tobe-watson,Tobe Watson,4,4,8,3,0,0,2,0,0,1,0,2,2,0,2,31,33
pp-fremantle-dockers--liam-henry,Liam Henry,7,1,8,1,1,1,0,0,0,1,1,3,0,2,0,35,36
pp-fremantle-dockers--lloyd-meek,Lloyd Meek,0,6,6,0,0,0,1,13,0,0,1,3,0,0,1,26,43
pp-fremantle-dockers--alex-pearce,Alex Pearce,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,7,11
